 scal   -EI      E1      E2      E3     -EO     -E1I    -E2I    -E3I     EOI    -E12    -E13    -EO1    -E23    -EO2    -EO3     E12I    E13I    EO1I    E23I    EO2I    EO3I   -E123    EO12    EO13    EO23    E123I  -EO12I  -EO13I  -EO23I   EO123  -EO123I ;
 E1I    0      0      -E12I   -E13I   -EO1I   0      0      0      0      0      0      0      -E123I   EO12I   EO13I  0      0      0      0      0      0      0      0      0       EO123I 0      0      0      0      0      0      ;
 E23    -E23I    E123   0      0      -EO23   -E123I  0      0       EO23I  0      0      -EO123  0      0      0      0      0       EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      ;
 E2I    0       E12I   0      -E23I   -EO2I   0      0      0      0      0       E123I  -EO12I  0      0       EO23I  0      0      0      0      0      0      0      0      -EO123I 0      0      0      0      0      0      0      ;
 E3I    0       E13I    E23I   0      -EO3I   0      0      0      0      -E123I  0      -EO13I  0      -EO23I  0      0      0      0      0      0      0      0       EO123I 0      0      0      0      0      0      0      0      ;
 EO12   -EO12I  0      0       EO123  0      0      0      -EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      ;
 EO13   -EO13I  0      -EO123  0      0      0       EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      ;
 EO1I   0      0      -EO12I  -EO13I  0      0      0      0      0      0      0      0      -EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      ;
 EO23   -EO23I   EO123  0      0      0      -EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      ;
 EO2I   0       EO12I  0      -EO23I  0      0      0      0      0      0       EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      ;
 EO3I   0       EO13I   EO23I  0      0      0      0      0      0      -EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      ;
 E123   -E123I  0      0      0       EO123  0      0      0      -EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      ;
 E12I   0      0      0      -E123I   EO12I  0      0      0      0      0      0      0      0      0      -EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      ;
 E13I   0      0       E123I  0       EO13I  0      0      0      0      0      0      0      0       EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      ;
 E23I   0      -E123I  0      0       EO23I  0      0      0      0      0      0      -EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      ;
 EO123  -EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      ;
 EO12I  0      0      0      -EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      ;
 EO13I  0      0       EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      ;
 EO23I  0      -EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      ;
 E123I  0      0      0      0      -EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      ;
 EO123I 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      ;
